,BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CAM,CNT,CS,CX,CY,EEG_ENG,EEG_EXC,EEG_FRU,EEG_MED,FACE,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LPCX,LPCY,LPD,LPS,LPV,MID,MOB,RPCX,RPCY,RPD,RPS,RPV,SCLX,SCLY,SCN,TIME,TIMETICK,USER,VID,WEB
247,0.0,0,8,1,0.3722600042819977,0.22743000090122223,113,250,0.0,0.9994800090789795,0.0,0,0,0,0,38,0.3925800025463104,11,3.676025390625,0,0.3748199939727783,0.22081999480724335,0.28453001379966736,0.47494998574256897,21.76085090637207,1.0549700260162354,1,0,0,0.7094200253486633,0.5147200226783752,20.981599807739258,1.0623699426651,1,0,0,38,4.122802734375,243774304610.0,,0,0
263,0.0,0,8,1,0.49873000383377075,0.14509999752044678,120,266,0.0,0.9994800090789795,0.0,0,0,0,0,40,0.24341000616550446,12,4.090576171875,0,0.48715999722480774,0.17162999510765076,0.27020999789237976,0.4708299934864044,22.543670654296875,1.1278300285339355,1,0,0,0.6939700245857239,0.49939998984336853,21.74544906616211,1.1278300285339355,1,0,0,40,4.38720703125,243774897441.0,,0,0
282,0.0,0,8,1,0.3819600045681,0.1764799952507019,130,285,0.0,0.9994800090789795,0.0,0,0,0,0,44,0.29394999146461487,13,4.35400390625,0,0.39618000388145447,0.18024000525474548,0.2412099987268448,0.46349000930786133,22.065160751342773,1.0792200565338135,1,0,0,0.6630100011825562,0.47534000873565674,21.65700912475586,1.0792200565338135,1,0,0,43,4.69970703125,243775597664.0,,0,0
323,0.0,0,9,1,0.48517999053001404,0.18685999512672424,150,326,0.0,0.9994800090789795,0.0,0,0,0,0,50,0.46265000104904175,14,4.66650390625,0,0.4824399948120117,0.17177000641822815,0.26802000403404236,0.4632999897003174,21.373830795288086,1.1030900478363037,1,0,0,0.6865400075912476,0.4818199872970581,21.78615951538086,1.0947599411010742,1,0,0,50,5.37353515625,243777107795.0,,0,0
350,0.0,0,9,1,0.5370200276374817,0.19681000709533691,162,353,0.0,0.9994800090789795,0.0,0,0,0,0,54,0.43187999725341797,15,5.340576171875,0,0.5311200022697449,0.19740000367164612,0.2773999869823456,0.4813700020313263,21.89790916442871,1.0631599426269531,1,0,0,0.6974200010299683,0.5025200247764587,20.82815933227539,1.0631599426269531,1,0,0,54,5.816650390625,243778100341.0,,0,0
410,0.0,0,8,1,0.6011899709701538,0.14273999631404877,193,413,0.0,0.9994800090789795,0.0,0,0,0,0,64,0.9731400012969971,16,5.782958984375,0,0.5942800045013428,0.15344999730587006,0.23899999260902405,0.5678600072860718,21.119260787963867,1.120419979095459,1,0,0,0.6594399809837341,0.5390099883079529,20.127029418945312,1.1278300285339355,1,0,0,64,6.81103515625,243780329262.0,,0,0
440,0.0,0,9,1,0.5793099999427795,0.18268999457359314,207,443,0.0,0.9994800090789795,0.0,0,0,0,0,68,0.27489998936653137,17,6.778564453125,0,0.5807899832725525,0.17159000039100647,0.2528499960899353,0.5329099893569946,21.138240814208984,1.065659999847412,1,0,0,0.6755499839782715,0.5100799798965454,20.551340103149414,1.0814000368118286,1,0,0,69,7.305908203125,243781437995.0,,0,0
454,0.0,0,9,1,0.4153299927711487,0.17726999521255493,214,457,0.0,0.9994800090789795,0.0,0,0,0,0,70,0.21459999680519104,18,7.272216796875,0,0.4233900010585785,0.18387000262737274,0.21901999413967133,0.5191299915313721,21.816600799560547,1.0549700260162354,1,0,0,0.6404799818992615,0.4908899962902069,21.53506088256836,1.0623699426651,1,0,0,71,7.53173828125,243781944088.0,,0,0
469,0.0,0,9,1,0.6007800102233887,0.1674100011587143,221,472,0.0,0.9994800090789795,0.0,0,0,0,0,73,0.228520005941391,19,7.499267578125,0,0.5807700157165527,0.1720999926328659,0.2188899964094162,0.5137900114059448,21.802719116210938,1.1028399467468262,1,0,0,0.6386299729347229,0.4887300133705139,20.851579666137695,1.1028399467468262,1,0,0,73,7.783935546875,243782509122.0,,0,0
503,0.0,0,10,1,0.5950499773025513,0.16011999547481537,238,506,0.0,0.9994800090789795,0.0,0,0,0,0,78,0.3439899981021881,20,7.75,0,0.5957300066947937,0.15220999717712402,0.240339994430542,0.4882499873638153,20.93317985534668,1.1028399467468262,1,0,0,0.6602799892425537,0.47036999464035034,20.03860092163086,1.1028399467468262,1,0,0,79,8.341796875,243783759689.0,,0,0
523,0.0,0,10,1,0.3974800109863281,0.10345999896526337,249,526,0.0,0.9994800090789795,0.0,0,0,0,0,82,0.2595199942588806,21,8.3095703125,0,0.396340012550354,0.12036000192165375,0.23680999875068665,0.4760099947452545,21.570140838623047,1.1194900274276733,1,0,0,0.658840000629425,0.46226000785827637,20.934680938720703,1.1278200149536133,1,0,0,82,8.66796875,243784490480.0,,0,0
544,0.0,0,10,1,0.45458000898361206,0.1990399956703186,259,547,0.0,0.9994800090789795,0.0,0,0,0,0,85,0.3320299983024597,22,8.634765625,0,0.4546400010585785,0.18355999886989594,0.26440000534057617,0.4808799922466278,21.782459259033203,1.0546599626541138,1,0,0,0.6845999956130981,0.4770500063896179,21.60371971130371,1.0546599626541138,1,0,0,85,9.019775390625,243785279029.0,,0,0
571,0.0,0,10,1,0.556119978427887,0.17505000531673431,272,574,0.0,0.9994800090789795,0.0,0,0,0,0,89,0.42528998851776123,23,8.986572265625,0,0.5496199727058411,0.16484999656677246,0.27211999893188477,0.464029997587204,23.137380599975586,1.0713200569152832,1,0,0,0.6945199966430664,0.4546000063419342,21.86046028137207,1.0629899501800537,1,0,0,90,9.46484375,243786276166.0,,0,0
591,0.0,0,10,1,0.6019099950790405,0.20444999635219574,281,594,0.0,0.9994800090789795,0.0,0,0,0,0,93,0.30761998891830444,24,9.432861328125,0,0.608959972858429,0.1956699937582016,0.28154999017715454,0.505370020866394,22.512399673461914,1.0470999479293823,1,0,0,0.7033500075340271,0.5034300088882446,22.008140563964844,1.0470999479293823,1,0,0,93,9.794677734375,243787015464.0,,0,0
610,0.0,0,10,1,0.3634200096130371,0.19865000247955322,291,613,0.0,0.967710018157959,0.0,0,0,0,0,96,0.24267999827861786,25,9.763427734375,0,0.36847999691963196,0.199180006980896,0.2886500060558319,0.5254499912261963,22.2232608795166,1.0798200368881226,1,0,0,0.7097899913787842,0.524590015411377,22.283479690551758,1.0881500244140625,1,0,0,96,10.106689453125,243787714467.0,,0,0
634,0.0,0,10,1,0.42197999358177185,0.2361299991607666,303,637,0.0,0.9994800090789795,0.0,0,0,0,0,99,0.3752399981021881,26,10.072998046875,0,0.42434999346733093,0.22257000207901,0.29833000898361206,0.519070029258728,22.137590408325195,1.0546599626541138,1,0,0,0.7208999991416931,0.5202100276947021,22.133859634399414,1.0546599626541138,1,0,0,100,10.504150390625,243788605182.0,,0,0
657,0.0,0,11,1,0.4711399972438812,0.21216000616550446,314,660,0.0,0.9994800090789795,0.0,0,0,0,0,103,0.1650400012731552,27,10.470703125,0,0.44429999589920044,0.20116999745368958,0.2872300148010254,0.5180500149726868,22.19915008544922,1.070539951324463,1,0,0,0.7090700268745422,0.517520010471344,21.212020874023438,1.0788700580596924,1,0,0,103,10.87939453125,243789446134.0,,0,0
689,0.0,0,11,1,0.5072399973869324,0.19130000472068787,329,692,0.0,0.9307299852371216,0.0,0,0,0,0,108,0.5090299844741821,28,10.846435546875,0,0.5082100033760071,0.19925999641418457,0.29545000195503235,0.5323100090026855,21.175029754638672,1.0699299573898315,1,0,0,0.7199400067329407,0.5388399958610535,20.897539138793945,1.0773299932479858,1,0,0,109,11.411865234375,243790639440.0,,0,0
